index,name
0,becker benjamin
0,benjamin becker
1,guillermo garcia lopez
1,lopez guillermo garcia
1,g garcia lopez
1,garcia lopez guillermo
2,nadal rafael
2,rafael nadal
2,r nadal
3,andujar pablo
3,pablo andujar
3,p andujar
3,p andujar alba
4,przysiezny michal
4,m przysiezny
4,michal przysiezny
5,gasquet richard
5,richard gasquet
5,r gasquet
6,dolgopolov alexandr
6,alexandr dolgopolov
7,zeballos horacio
7,horacio zeballos
8,camilo rafael
8,rafael camilo
9,arguello facundo
9,f arguello
9,facundo arguello
10,gastao elias
10,g elias
10,elias gastao
11,estrella burgos victor
11,burgos victor estrella
11,victor estrella burgos
12,barrientos nicolas
12,n barrientos
12,nicolas barrientos
12,nico barrientos
13,hans podlipnik castillo
13,podlipnik castillo hans
13,castillo hans podlipnik
14,lisicki sabine
14,sabine lisicki
14,s lisicki
15,buerchner moritz
15,moritz buerchner
16,cunha henrique
16,henrique cunha
17,paula fabiano de
17,de paula fabiano
17,fabiano de paula
17,f de paula
18,roger federer
18,federer roger
18,r federer
19,klara koukalova
19,koukalova klara
19,kristina koukalova
20,ruben bemelmans
20,bemelmans ruben
20,r bemelmans
21,casey dellacqua
21,dellacqua casey
22,maceiras adrian menendez
22,menendez maceiras adrian
22,adrian menendez maceiras
22,a menendez maceiras
22,adrian menendez maceira
23,matosevic marinko
23,marinko matosevic
24,zheng jie
24,jie zheng
24,j zheng
25,king vania
25,vania king
25,v king
26,v williams
26,williams venus
26,venus williams
27,viktorija golubic
27,v golubic
27,golubic viktorija
28,falla alejandro
28,alejandro falla
29,sharapova maria
29,maria sharapova
29,m sharapova
30,kerber angelique
30,angelique kerber
30,a kerber
31,cepelova jana
31,jana cepelova
31,j cepelova
31,cepelova j
32,dimitrov grigor
32,grigor dimitrov
32,g dimitrov
33,kudryavtsev alexander
33,alexander kudryavtsev
34,granollers marcel
34,marcel granollers
35,devvarman somdev
35,somdev devvarman
36,evans daniel
36,daniel evans
36,d evans
37,lu yen hsun
37,yen hsun lu
37,hsun lu yen
37,y h lu
38,andreozzi guido
38,guido andreozzi
38,g andreozzi
39,verdasco fernando
39,fernando verdasco
39,f verdasco
39,fernando veradsco
40,ghem andre
40,andre ghem
41,pavic ante
41,a pavic
41,ante pavic
42,burquier gregoire
42,gregoire burquier
42,g burquier
43,ebden matthew
43,matthew ebden
44,pliskova kristyna
44,kristyna pliskova
44,kr pliskova
45,sharon fichman
45,fichman sharon
46,pliskova karolina
46,karolina pliskova
47,gorges julia
47,julia gorges
47,julia goerges
48,morita ayumi
48,ayumi morita
48,a morita
49,larsson johanna
49,johanna larsson
49,j larsson
50,sela dudi
50,dudi sela
51,coppejans kimmer
51,kimmer coppejans
51,k coppejans
52,nicolas mahut
52,mahut nicolas
52,n mahut
53,serena williams
53,williams serena
54,niculescu monica
54,m niculescu
54,monica niculescu
55,krajicek austin
55,austin krajicek
55,a krajicek
56,konjuh ana
56,ana konjuh
56,a konjuh
57,riba pere
57,pere riba
58,na li
58,li na
59,parmentier pauline
59,p parmentier
59,pauline parmentier
60,eguchi misa
60,m eguchi
60,misa eguchi
61,hozumi eri
61,eri hozumi
61,e hozumi
62,elizaveta kulichkova
62,kulichkova elizaveta
62,e kulichkova
63,tara moore
63,moore tara
63,t moore
64,miharu imanishi
64,imanishi miharu
64,m imanishi
64,imanishi m
65,pemra ozgen
65,ozgen pemra
65,p ozgen
66,zhu lin
66,lin zhu
66,l zhu
67,marius copil
67,copil marius
67,m copil
68,lopez feliciano
68,feliciano lopez
68,fel lopez
69,roger vasselin edouard
69,edouard roger vasselin
69,vasselin edouard roger
70,anderson kevin
70,kevin anderson
71,fognini fabio
71,fabio fognini
71,f fognini
72,karlovic ivo
72,ivo karlovic
72,i karlovic
73,wawrinka stan
73,stan wawrinka
73,s wawrinka
73,stanislas wawrinka
74,bedene aljaz
74,aljaz bedene
75,brands daniel
75,daniel brands
76,pella guido
76,guido pella
76,g pella
76,pella
77,romboli fernando
77,f romboli
77,fernando romboli
78,lukasz kubot
78,kubot lukasz
79,florian mayer
79,mayer florian
80,peter gojowczyk
80,gojowczyk peter
80,p gojowczyk
81,velotti agustin
81,agustin velotti
81,a velotti
82,pouille lucas
82,lucas pouille
82,l pouille
83,diez steven
83,s diez
83,steven diez
84,sachie ishizu
84,ishizu sachie
85,k nara
85,nara kurumi
85,kurumi nara
85,kurami nara
86,muguruza garbine
86,garbine muguruza
86,g muguruza
86,garbine muguruza blanco
87,cilic marin
87,marin cilic
88,patricia mayr achleitner
88,mayr achleitner patricia
88,achleitner patricia mayr
88,patricia mayr achleitne
89,shuai peng
89,peng shuai
90,mcgee james
90,james mcgee
91,davis lauren
91,lauren davis
91,l davis
92,zhang yuxuan
92,yuxuan zhang
93,han xinyun
93,xinyun han
94,vogele stefanie
94,stefanie vogele
94,stefanie voegele
94,s voegele
95,barbora strycova
95,strycova barbora
95,b strycova
96,hanescu victor
96,victor hanescu
97,dustin brown
97,brown dustin
98,gael monfils
98,g monfils
98,monfils gael
99,flipkens kirsten
99,k flipkens
99,kirsten flipkens
99,kristen flipkens
100,hampton jamie lee
100,lee hampton jamie
100,jamie lee hampton
101,hewitt lleyton
101,lleyton hewitt
102,pierre hugues herbert
102,herbert pierre hugues
102,hugues herbert pierre
103,jankovic jelena
103,jelena jankovic
104,bhambri yuki
104,yuki bhambri
104,y bhambri
105,groth sam
105,sam groth
105,samuel groth
106,trivedi vaibhavi
106,vaibhavi trivedi
107,naaz amreen
107,amreen naaz
108,souza joao
108,j souza
108,joao souza
109,santiago giraldo
109,s giraldo
109,giraldo santiago
110,baghdatis marcos
110,marcos baghdatis
110,m baghdatis
111,kohlschreiber philipp
111,philipp kohlschreiber
111,p kohlschreiber
112,volandri filippo
112,filippo volandri
113,paire benoit
113,benoit paire
113,b paire
114,sock jack
114,jack sock
114,j sock
115,radek stepanek
115,stepanek radek
116,querrey sam
116,sam querrey
116,s querrey
117,joao sousa
117,sousa joao
117,j sousa
118,istomin denis
118,d istomin
118,denis istomin
119,benneteau julien
119,julien benneteau
120,d hantuchova
120,hantuchova daniela
120,daniela hantuchova
121,keys madison
121,m keys
121,madison keys
122,cibulkova dominika
122,dominika cibulkova
122,d cibulkova
123,stephens sloane
123,s stephens
123,sloane stephens
124,vinci roberta
124,roberta vinci
125,lucie safarova
125,safarova lucie
125,l safarova
126,mattek sands bethanie
126,b mattek sands
