index,name,bf_name,similarity
12,n barrientos,barrientos,90.9090909090909
12,n barrientos,nico barrientos,88.88888888888889
12,nicolas barrientos,nico barrientos,90.9090909090909
22,adrian menendez maceiras,adrian menendez maceira,97.87234042553192
22,a menendez maceiras,adrian menendez maceira,85.71428571428572
24,j zheng,a zheng,85.71428571428572
24,j zheng,zheng,83.33333333333334
30,a kerber,kerber,85.71428571428572
31,cepelova jana,cepelova j,86.95652173913044
31,jana cepelova,jana capelova,92.3076923076923
31,j cepelova,cepelova j,80.0
32,g dimitrov,d dimitrov,90.0
36,daniel evans,dan evans,85.71428571428572
36,d evans,dan evans,87.5
36,d evans,c evans,85.71428571428572
39,fernando verdasco,fernando veradsco,94.11764705882352
47,julia gorges,julia goerges,96.0
52,n mahut,mahut,83.33333333333334
54,m niculescu,v niculescu,90.9090909090909
54,m niculescu,niculescu,90.0
56,a konjuh,konjuh,85.71428571428572
60,m eguchi,m saguchi,82.35294117647058
60,misa eguchi,m saguchi,80.0
63,tara moore,a moore,82.35294117647058
63,t moore,a moore,85.71428571428572
64,imanishi miharu,imanishi m,80.0
64,m imanishi,imanishi m,80.0
68,feliciano lopez,felicano lopez,96.55172413793103
68,feliciano lopez,felciano lopez,96.55172413793103
73,stan wawrinka,stanislas wawrinka,83.87096774193549
76,g pella,pella,83.33333333333334
82,lucas pouille,lucas puille,96.0
82,lucas pouille,lucas koelle,80.0
83,s diez,m diez,83.33333333333334
85,kurumi nara,kurami nara,90.9090909090909
86,garbine muguruza,garbine muguruza blanco,82.05128205128204
86,g muguruza,muguruza,88.88888888888889
88,patricia mayr achleitner,patricia mayr achleitne,97.87234042553192
91,l davis,t davis,85.71428571428572
91,l davis,davis,83.33333333333334
92,yuxuan zhang,yux zhang,85.71428571428572
94,stefanie vogele,stefanie voegele,96.7741935483871
99,kirsten flipkens,kristen flipkens,93.75
105,sam groth,samuel groth,85.71428571428572
109,s giraldo,giraldo,87.5
114,j sock,sock,80.0
117,j sousa,sousa,83.33333333333334
121,madison keys,madison weekley,81.4814814814815
124,roberta vinci,robert savin,80.0
129,ignatik alexandra cadantu,alexandra cadantu,80.95238095238095
129,alexandra cadantu ignatik,alexandra cadantu,80.95238095238095
129,alexandra cadantu ignatik,alexandra ignatik,80.95238095238095
131,anastasia pavlyuchenkova,anastasia pavlyunchenkova,97.95918367346938
131,anastasia pavlyuchenkova,anastasia pavlyuchenkov,97.87234042553192
131,anastasia pavlyuchenkova,anastasiapavlyuchenkova,97.87234042553192
131,a pavlyuchenkova,pavlyuchenkova,93.33333333333333
136,l robson,robson,85.71428571428572
136,l robson,l robertson,84.21052631578947
141,tsvetana pironkova,tsevetana pironkova,97.2972972972973
151,n osaka,y kosaka,80.0
151,n osaka,l kosaka,80.0
153,ajla tomljanovic,ajla tomlajnovic,93.75
153,a tomljanovic,ajla tomlajnovic,82.75862068965517
161,j wolfe,j wolf,92.3076923076923
161,j wolfe,jj wolf,85.71428571428572
161,j wolfe,k wolfe,85.71428571428572
163,harrison ryan,harrison brown,81.4814814814815
171,riya bhatia,ka bhatia,80.0
185,m podzus,d podzus,87.5
185,m podzus,podzus,85.71428571428572
192,milos sekulic,s sekulic,81.81818181818181
192,m sekulic,s sekulic,88.88888888888889
192,m sekulic,sr sekulic,84.21052631578947
192,m sekulic,s r sekulic,80.0
196,t simon,simon,83.33333333333334
196,t simon,o simion,80.0
206,e makarova,makarova,88.88888888888889
206,e makarova,ti makarova,85.71428571428572
206,ekaterina makarova,ekaterina makaro,94.11764705882352
208,roberto bautista agut,r baustista agut,81.08108108108108
208,r bautista agut,r baustista agut,96.7741935483871
208,r bautista agut,bautista agut,92.85714285714286
223,r newborn,p newborn,88.88888888888889
223,r newborn,newborn,87.5
237,mitchell krueger,mitchel krueger,96.7741935483871
240,danielle mills,danielle morris,82.75862068965517
248,j brady,q brady,85.71428571428572
249,s kenin,kenin,83.33333333333334
250,allie kiick,al kiick,84.21052631578947
250,a kiick,al kiick,93.33333333333333
252,tanaka mari,t ana maria,81.81818181818181
253,m honcova,h honcova,88.88888888888889
255,f codino,f codina,87.5
257,david ferrer,devid ferrer,91.66666666666666
257,david ferrer,a ferrer,80.0
257,d ferrer,a ferrer,87.5
257,d ferrer,c ferrer,87.5
257,d ferrer,devid ferrer,80.0
259,suarez navarro carla,suarez navarro,82.35294117647058
259,carla suarez navarro,suarez navarro,82.35294117647058
259,c suarez navarro,suarez navarro,93.33333333333333
271,y uchiyama,uchiyama,88.88888888888889
276,d lajovic,lajovic,87.5
277,matteo viola,matteo volante,84.61538461538461
278,diego schwartzman,d schwartzmann,83.87096774193549
278,d schwartzman,d schwartzmann,96.2962962962963
279,a harris,harris,85.71428571428572
280,i marchenko,iiiya marchenko,84.61538461538461
280,illya marchenko,iiiya marchenko,86.66666666666667
282,s robert,st robert,94.11764705882352
291,thomaz bellucci,ma bellucci,84.61538461538461
291,t bellucci,ma bellucci,85.71428571428572
308,g granollers,g granollers pujol,80.0
316,k kravchuk,kravchuk,88.88888888888889
321,y marti,y marte,85.71428571428572
323,o otte,otte,80.0
332,irina ramialison,irina ramialson,96.7741935483871
332,i ramialison,irina ramialson,81.4814814814815
336,d novikov,novikov,87.5
345,nicole melichar martinez,nicole melichar martine,97.87234042553192
347,s crawford,ol crawford,85.71428571428572
347,s crawford,g cranford,80.0
348,a schaefer,b schafer,84.21052631578947
349,elitsa kostova,elista kostova,92.85714285714286
349,e kostova,kostova,87.5
353,damir dzumhur,damir dzhumur,92.3076923076923
354,daniel taro,daniel rowe,81.81818181818181
354,taro daniel,a daniell,80.0
354,t daniel,daniel,85.71428571428572
354,t daniel,a daniell,82.35294117647058
356,marton fucsovics,marton fucsovic,96.7741935483871
358,andrea arnaboldi,andrea arnboldi,96.7741935483871
362,nastassya burnett,nastassja burnett,94.11764705882352
363,p hon,p ho,88.88888888888889
364,m inglis,inglis,85.71428571428572
370,nigina abduraimova,nigi abduraimova,94.11764705882352
370,n abduraimova,nigi abduraimova,89.65517241379311
371,anna lena friedsam,a l friedsam,80.0
377,kristina kucova,kristina koukalova,84.84848484848484
377,k kucova,k kucikova,88.88888888888889
378,maria sanchez,mar sanchez,91.66666666666666
378,maria sanchez,martinez sanchez,82.75862068965517
379,maryna zanevska,maryna zanveska,93.33333333333333
379,maryna zanevska,maryna zanevksa,93.33333333333333
383,h watson,watson,85.71428571428572
386,s zheng,a zheng,85.71428571428572
386,s zheng,sh zeng,85.71428571428572
386,s zheng,s zhong,85.71428571428572
386,s zheng,zheng,83.33333333333334
387,m linette,linette,87.5
392,katerina siniakova,katerina sinaikova,94.44444444444444
392,k siniakova,shinikova,80.0
393,a dulgheru,al dulgheru,95.23809523809523
395,e sema,sema,80.0
397,yingying duan,ying ying duan,96.2962962962963
397,y duan,yy duan,92.3076923076923
397,y duan,y y duan,85.71428571428572
403,a rus,arus,88.88888888888889
405,ze zhang,k zhang,80.0
405,ze zhang,e huang,80.0
414,andrea gamiz,andrea agazzi,80.0
416,c simmonds,ph simmonds,85.71428571428572
417,anastasiya vasylyeva,anastasiya soboleva,82.05128205128204
417,anastasiya vasylyeva,anastasiya sobolieva,80.0
418,jovana jovic,jovana jaksic,80.0
